id,ICAO,alliance,hubs,AO_type
310,MPC,EHF,,REG
311,GJH,EHF,LROP_LSZH_EDDF_EDDM_LBSF_EDDV_EDDP_EDDN_EDDS_EBBR_LSGG_EDDW_LKPR_EDDH_EDDL_LOWW_LIMC_LDZA_EKCH_LOWG_EDDT,FSC
316,UDA,UDA,,CHT
317,WMP,RWN,,CHT
318,KYM,BTC,,FSC
323,YPO,YPO,,FSC
324,DJN,DJN,,REG
325,IJH,RWN,,CHT
326,SML,SML,,REG
329,BKC,XIQ,LSZH_LSGG,REG
341,OET,EHF,,CHT
353,ITW,ITW,EICK_EGKK_EIDW,FSC
355,XSN,XSN,,REG
358,MXF,EHF,EETN,REG
359,CXP,EHF,,REG
360,YJC,YJC,,FSC
363,SHT,SHT,,CHT
367,LFJ,PHG,,FSC
372,LNC,XIQ,OMAA,FSC
373,UPM,EHF,,FSC
377,SMP,EHF,,FSC
378,UQA,FXO,,REG
383,KGO,KGO,EGNM_EGNX,LCC
387,CTV,CTV,EGNM_EGNT_EGPD,CHT
388,ORW,UFZ,LSGG_LFSB_LFMN,LCC
389,DXG,UFZ,LFPG_EHAM_LFBO_LFMN_LSGG_EGGP_LFBD_LKPR_EDDH_LIMC_LIRF_EKCH_EGKK_LFLL,LCC
397,MKA,XIQ,EFHK,REG
398,KIC,KIC,,LCC
428,WJO,WJO,,CHT
429,GEA,XIQ,EFHK,FSC
432,UHI,UHI,,REG
447,FGX,FGX,,REG
472,TZH,TZH,,FSC
484,XRI,BTC,,FSC
491,CUN,XIQ,,FSC
494,VKT,VKT,LEPA,LCC
505,BHP,CGH,,REG
515,CVH,EHF,EDDV_EDDP_EDDN_EDDS_EDDK_EDDH_EDDL_LOWW_EGSS_EDDC_EDDT,LCC
516,NRO,NRO,,CHT
517,PIX,PIX,,REG
521,PAM,PAM,,CHT
526,MVX,MVX,,REG
534,WPE,BTC,LFLL,REG
536,BRJ,MXK,,CHT
544,VHD,BTC,,FSC
551,KRC,KRC,,FSC
552,DCM,IZU,GCXO_GCLP,REG
553,VTZ,XIQ,LEMD_GCLP,FSC
556,CIO,XIQ,LEMD,REG
559,ZBL,ZBL,,FSC
567,ZHI,ZHI,,CHT
578,VGM,OQI,,FSC
580,RCS,RCS,,REG
581,ZKN,ZKN,OIIE,FSC
583,ODH,ODH,,REG
585,BEZ,BEZ,,LCC
586,CYR,CYR,,REG
587,IOU,GND,LIPX_LIEO_LIML,LCC
595,GWJ,GWJ,,FSC
596,RHV,RHV,,REG
599,SJC,IRA,EBBR_LGRP,LCC
600,CSW,XIQ,EBBR,FSC
601,DVX,XIQ,,FSC
604,LFG,LFG,,CHT
605,RXZ,RXZ,,CHT
614,SYQ,SYQ,,CHT
621,BFM,BFM,,CHT
624,MVU,MVU,,LCC
625,QHI,QHI,,FSC
626,GYK,BTC,LIRF_LIMC,FSC
627,IDX,DUJ,,CHT
633,IUW,IUW,,CHT
634,QRT,QRT,,REG
635,BCU,BCU,LTAI_LTBA_LTFJ,LCC
637,TPJ,BTC,EHAM,FSC
638,MWH,MWH,,LCC
639,UOE,BTC,,FSC
642,QVU,UWA,,CHT
643,KMW,KMW,,CHT
645,REX,REX,,FSC
647,SVA,SVA,,FSC
648,GRO,XIQ,,FSC
650,HMD,HMD,,REG
651,YFR,YFR,,CHT
655,YXW,EHF,ELLX_EDDR,FSC
662,NZS,NTX,,CHT
664,VCJ,VCJ,,REG
665,RON,NTX,,CHT
673,GJB,GJB,,REG
676,FOM,AYZ,,REG
678,TZR,EHF,EPWA,FSC
679,XOR,XIQ,,FSC
685,GWC,GWC,,CHT
687,VDE,XIQ,,CHT
702,IBW,IBW,LBSF,FSC
705,HIN,SRE,,LCC
713,SUV,XIQ,,FSC
